"","AT","AP","AH","AFDP","GTEP","TIT","TAT","TEY","CDP","CO","NOX"
"3793",25.216,1005.3,48.567,3.8569,25.564,1091.3,550.43,133.77,12.176,0.9059,69.914
"3794",24.753,1005.1,56.501,3.8237,25.362,1090.4,550.23,133.77,12.122,0.82314,68.575
"3795",23.741,1005.3,63.309,3.7775,25.337,1089.7,550.19,133.77,12.165,0.88624,66.514
"3796",22.117,1005.3,70.967,3.7368,25.451,1090.6,549.69,135.08,12.188,0.89342,65.554
"3797",20.635,1005.2,71.819,3.6597,24.964,1088.8,550.3,133.87,12.124,0.91118,67.036
"3798",19.888,1004.9,66.593,3.6257,24.642,1087.3,549.95,132.8,11.942,0.7634,67.092
"3799",19.041,1004.8,68.121,3.6138,24.651,1086.7,550.24,132.9,11.863,0.71732,66.97
"3800",19.135,1004.6,69.126,3.0122,19.884,1058.4,549.86,112.38,10.696,2.0283,64.237
"3801",19.241,1004.3,69.463,2.798,18.239,1042.3,545.95,103.45,10.113,5.7928,77.248
"3802",19.093,1004.2,70.692,2.7584,18.176,1044.6,547.54,104.11,10.087,4.4489,70.527
"3803",18.877,1004.4,72.817,2.803,18.338,1045.1,547.49,104.77,10.152,4.4635,68.343
"3804",18.623,1004.7,75.659,2.9279,18.839,1051.5,549.71,107.53,10.384,3.6067,68.859
"3805",18.394,1005.1,82.036,3.6901,25.067,1088.5,550.15,134.48,11.96,1.0819,66.731
"3806",18.962,1005.2,80.912,3.7318,25.269,1089.9,550.06,135.06,12.17,0.90656,66.948
"3807",20.172,1005.1,72.379,3.7429,25.434,1090.3,550.37,135.12,12.23,0.72539,70.322
"3808",21.866,1005.2,63.517,3.8311,25.438,1090.7,550.12,134.77,12.202,0.71014,72.871
"3809",23.712,1005.2,56.078,3.9158,25.496,1091.2,549.86,134.77,12.161,0.84755,71.37
"3810",25.038,1005.3,56.722,3.9574,25.541,1091.4,549.9,134.74,12.187,0.66425,69.144
"3811",26.952,1005.2,53.985,3.9698,25.527,1092.3,550.39,134.75,12.278,0.65205,68.234
"3812",27.861,1005.3,50.542,4.0219,25.829,1093.8,550.06,135.79,12.307,0.63202,69.339
"3813",27.478,1005.6,50.542,3.9506,25.615,1092.4,550.06,134.76,12.165,0.73141,71.31
"3814",26.607,1005.7,49.303,3.9149,25.516,1091.5,550.04,134.09,12.142,0.76,71.286
"3815",26.07,1005.7,51.591,3.875,25.509,1091,550,133.75,12.125,0.79305,69.969
"3816",26.03,1005.6,55.282,3.8643,25.579,1091.2,550.1,133.73,12.106,0.7215,67.574
"3817",25.597,1005.9,55.493,3.8565,25.614,1091.3,549.67,133.74,12.092,0.74937,67.988
"3818",24.352,1006.3,64.496,3.7865,25.495,1090.7,549.96,133.74,12.085,1.0145,65.777
"3819",22.949,1006.6,71.578,3.7291,25.429,1090.3,549.81,133.73,12.091,0.74902,65.314
"3820",22.68,1007,69.897,3.7618,25.423,1090.5,550.13,134.05,12.211,0.97726,66.086
"3821",22.477,1007.2,72.576,3.7291,25.28,1089.5,550.38,133.72,12.209,0.80975,64.517
"3822",21.456,1007.2,74.77,3.7118,25.218,1089.4,550.17,134.07,12.159,0.66306,64.875
"3823",20.224,1007.1,80.978,3.7026,25.066,1088.8,550.29,134.01,12.06,0.73126,64.716
"3824",19.673,1006.9,84.097,3.7286,25.09,1088.6,549.88,134.18,12.123,0.77675,64.584
"3825",18.883,1006.9,87.106,3.7183,24.884,1087.5,550.12,133.7,12.014,0.72284,64.142
"3826",18.65,1006.9,87.326,3.7211,24.898,1087.6,550.17,133.69,11.906,0.72543,64.13
"3827",18.771,1006.9,87.815,3.3398,22.092,1070.9,549.61,121.33,11.139,1.4507,62.159
"3828",19.309,1006.9,87.071,3.3576,22.044,1070.5,549.86,120.94,11.196,1.5178,63.461
"3829",20.173,1007.1,86.025,3.7868,25.333,1089.8,549.93,134.36,11.994,0.72949,65.851
"3830",22.731,1007.3,83.788,3.9403,25.441,1090.8,550.39,134.2,11.993,0.84943,65.592
"3831",24.507,1007.4,73.191,3.9295,25.48,1091.1,550.27,134.31,12.063,0.34588,65.714
"3832",25.521,1007.5,66.106,3.9542,25.709,1092.7,550.3,134.71,12.147,0.42369,68.395
"3833",27.535,1007.5,56.916,3.9665,25.753,1092.9,550.14,134.74,12.152,0.58995,68.758
"3834",28.391,1007.4,51.666,3.7941,24.367,1084.9,550.18,128.78,11.722,0.69077,65.334
"3835",29.216,1007.3,46.498,3.8061,24.504,1085.3,550.03,129.08,11.871,0.59044,65.254
"3836",28.879,1007.2,46.601,4.4506,29.951,1097.7,538.94,146.6,13.195,0.61635,62.938
"3837",29.409,1006.8,44.297,3.9924,26.136,1092.4,549.04,134.41,12.154,0.61072,69.843
"3838",30.07,1006.6,43.901,3.9454,25.83,1092,549.94,133.76,12.176,0.69733,68.253
"3839",28.966,1006.4,49.629,3.903,25.825,1092,549.89,133.76,12.177,0.61267,66.661
"3840",29.553,1006.1,52.16,3.893,25.492,1090,549.82,132.25,12.015,0.4036,65.977
"3841",29.564,1006.1,56.481,3.2329,20.581,1062.5,549.81,112.66,10.828,1.5058,54.062
"3842",27.759,1006.3,64.496,3.8261,25.385,1089.4,550.04,132.65,12.052,0.72486,61.715
"3843",24.691,1006.5,74.071,3.7916,25.17,1088.8,550.11,132.75,12.036,0.2751,61.385
"3844",23.862,1006.6,76.314,3.8012,25.107,1089.3,550.36,132.74,11.974,0.34887,61.681
"3845",23.611,1006.6,75.042,3.7473,25.13,1089.4,550.36,132.81,12.017,0.32057,63.161
"3846",23.121,1006.6,70.429,2.8436,18.236,1048.3,549.91,102.98,10.161,2.8884,60.995
"3847",22.983,1006.5,72.118,2.8067,18.079,1045.6,548.93,101.81,10.035,4.3554,67.459
"3848",22.389,1006.2,76.834,2.8247,17.974,1046.4,550.04,101.83,9.9982,4.3183,65.884
"3849",21.789,1006,76.777,2.8333,18.142,1047,549.99,102.73,9.9044,3.8893,66.422
"3850",21.361,1006.1,79.973,2.8541,18.306,1046.5,549.18,103.7,10.046,3.5794,63.906
"3851",21.692,1006.2,80.869,3.3145,21.936,1069.6,549.87,119.25,11.083,1.4231,59.948
"3852",23.485,1006.3,79.843,3.7616,24.544,1085.1,550.42,129.12,11.881,0.89509,62.922
"3853",25.316,1006.3,71.985,3.9232,25.705,1091.7,549.9,133.6,12.08,0.31529,65.914
"3854",26.904,1006.3,63.588,3.9681,25.721,1092.4,550.39,133.73,12.069,0.1205,67.282
"3855",28.689,1006.4,54.859,3.97,25.757,1092.2,550.2,133.73,12.059,0.21748,66.492
"3856",28.326,1006.6,57.433,3.9655,25.71,1092.5,550.24,133.74,12.049,0.66379,65.772
"3857",28.433,1006.3,58.674,4.0031,25.754,1092.6,549.67,133.74,12.038,0.79011,66.01
"3858",28.618,1005.9,57.118,4.0056,25.759,1092.7,549.56,133.73,12.028,0.85983,65.837
"3859",28.527,1005.4,60.228,3.9742,25.768,1092.4,549.67,133.7,12.017,0.68529,64.247
"3860",28.189,1005,62.146,3.6859,23.697,1080.3,550.02,124.88,11.689,1.149,56.758
"3861",28.086,1005,53.809,3.9674,25.945,1092.5,549.7,133.72,12.159,0.75581,69.322
"3862",27.552,1005.1,61.773,3.9014,25.92,1091.7,549.57,133.73,12.11,0.39871,64.832
"3863",23.962,1006.1,90.53,3.8212,25.154,1088.7,550.1,132.57,12.049,0.58673,56.215
"3864",21.95,1006.6,98.916,3.8226,24.822,1087.2,550.25,131.73,11.983,1.0289,57.825
"3865",21.21,1006.3,100.04,3.8292,25.339,1089.7,550.15,133.7,11.995,0.27681,58.462
"3866",21.258,1006.5,99.193,3.6015,23.267,1078,550.14,124.94,11.488,0.71055,54.174
"3867",21.213,1006.8,99.849,3.9396,25.494,1090.3,550.08,134.6,12.082,0.53323,60.02
"3868",21.282,1007,98.574,3.8826,25.426,1090.3,550.12,134.29,12.045,0.28074,60.655
"3869",21.426,1007,98.88,3.4029,21.621,1063.5,547.08,116.43,11.01,1.1802,82.751
"3870",21.357,1006.9,99.045,2.9851,18.486,1049.3,549.96,104.87,10.223,2.9565,54.53
"3871",21.117,1006.9,98.882,2.9968,18.58,1049.7,549.96,105.17,10.226,3.1557,54.31
"3872",20.929,1007,98.976,3.0492,18.423,1048.9,549.88,104.56,10.119,3.3039,55.268
"3873",21.06,1007.2,99.883,3.02,18.159,1047.6,549.97,103.21,10.029,4.1095,57.601
"3874",21.281,1007.5,99.059,2.945,18.115,1047.3,549.97,102.87,9.9854,4.1887,61.917
"3875",21.598,1007.7,98.657,2.9556,18.348,1048.2,550.12,103.61,9.969,3.5514,56.164
"3876",22.265,1008,95.562,3.3458,21.524,1066.7,550.01,117.05,10.908,2.1283,57.923
"3877",22.827,1008.4,91.808,3.8978,25.521,1090.2,549.86,134,12.05,0.39398,62.378
"3878",23.442,1008.7,90.825,3.8869,25.715,1091.6,550.18,134.58,12.136,0.24136,60.567
"3879",25.28,1009,83.2,3.9294,25.517,1090.7,550.25,133.72,12.145,0.23711,62.102
"3880",26.658,1009,75.29,3.9423,25.571,1091.2,550.42,133.73,12.155,0.38236,63.258
"3881",28.443,1008.7,64.277,3.9408,25.619,1092.1,550.42,133.71,12.165,0.30484,64.917
"3882",28.834,1008.7,62.888,3.9415,25.576,1092.3,550.33,133.72,12.174,0.39834,62.684
"3883",28.923,1008.4,62.576,3.935,25.654,1092.3,550.34,133.71,12.184,0.35721,62.567
"3884",29.146,1008.1,59.9,3.9387,25.704,1092.1,549.73,133.71,12.19,0.3342,63.709
"3885",29.338,1008,58.682,3.9379,25.771,1092.2,549.62,133.72,12.167,0.29964,62.721
"3886",29.283,1007.9,58.563,3.9366,25.788,1092.6,549.63,133.7,12.057,0.34469,64.308
"3887",28.639,1007.9,61.933,2.9674,18.868,1050.7,549.69,104.4,10.211,2.0732,51.871
"3888",26.989,1008,72.57,3.6224,24.319,1083.1,549.86,128.04,11.771,1.0621,58.72
"3889",26.071,1008.3,75.875,3.8325,25.626,1091,550.26,133.71,12.118,0.40193,59.266
"3890",24.313,1008.5,81.48,3.7738,25.433,1090.2,550.15,133.72,12.041,0.3406,58.039
"3891",22.919,1008.3,85.508,3.7661,25.326,1089.9,550.36,133.73,11.94,0.36164,58.785
"3892",21.62,1008.3,87.762,3.4521,22.717,1074.7,550.01,123.28,11.305,1.1417,58.561
"3893",20.68,1008,90.456,3.8338,25.075,1088.3,549.63,133.67,11.982,0.37758,61.932
"3894",20.047,1007.9,91.685,3.6925,24.15,1083.2,550.22,130.03,11.673,0.50448,61.315
"3895",19.568,1007.5,92.618,3.4243,21.731,1069.3,550.07,120.2,11.144,1.4035,58.968
"3896",19.688,1007.2,93.745,3.5934,23.194,1077.5,550.28,125.81,11.49,1.0015,61.174
"3897",19.621,1007.1,92.917,3.3274,21.449,1067.6,549.98,118.68,10.918,1.354,60.325
"3898",19.707,1006.9,93.966,3.0824,19.663,1056.6,549.87,110.66,10.415,2.0688,58.075
"3899",21.079,1006.8,96.458,3.1062,19.661,1056.4,550.17,109.74,10.517,2.0494,54.401
"3900",23.535,1006.9,93.032,3.2621,20.521,1061.9,549.78,112.97,10.755,1.6678,53.689
"3901",25.019,1006.8,86.511,3.2835,20.774,1063.1,550.29,113.76,10.736,1.7502,51.446
"3902",25.623,1006.5,83.121,3.2012,20.295,1060.1,550.22,111.53,10.583,2.1893,50.669
"3903",26.9,1006.5,77.981,3.8784,25.734,1091.4,549.82,133.72,12.142,0.52105,60.281
"3904",27.32,1006.2,76.068,3.883,25.8,1092,550.12,133.72,12.147,0.70796,59.63
"3905",27.577,1006.1,72.496,3.4641,22.601,1073.4,550.1,120.26,11.319,1.3028,53.519
"3906",27.938,1005.8,65.238,3.9118,25.967,1092.9,550.48,133.71,12.122,0.37734,60.906
"3907",28.406,1005.3,63.457,3.9316,25.997,1092.8,550.38,133.72,12.065,0.54674,64.2
"3908",28.624,1005,64.807,3.524,22.894,1075.3,550.28,121.02,11.347,1.0672,53.693
"3909",28.229,1004.4,68.384,3.2501,20.767,1062.3,549.59,112.42,10.779,1.5849,51.458
"3910",27.983,1004.7,68.3,3.1905,20.526,1061.1,549.77,111.79,10.672,1.6459,51.233
"3911",26.256,1005.2,73.986,3.1267,20.339,1060.7,549.97,111.77,10.565,1.6534,52.18
"3912",24.272,1005.6,80.071,3.1822,20.831,1064,550.11,114.85,10.878,1.6033,53.584
"3913",22.916,1006.1,84.457,3.763,25.266,1089.9,550.21,133.73,11.984,0.71716,61.029
"3914",22.503,1006.5,86.131,3.4646,22.969,1077.3,550.18,124.29,11.541,1.0711,54.341
"3915",22.041,1007,86.99,3.7287,25.157,1089.7,550.43,133.83,12.148,0.41728,61.693
"3916",21.679,1007.1,86.692,3.2475,21.504,1068.1,550.1,118.35,11.009,1.4543,58.313
"3917",21.266,1007.2,88.816,3.2173,21.144,1065.8,550.03,116.73,10.903,1.7299,57.378
"3918",21.277,1007.4,88.782,3.0924,20.132,1060.2,550.11,112.72,10.647,1.7983,55.951
"3919",21.245,1007.3,88.349,3.0624,20.229,1059.8,549.8,112.77,10.659,2.047,56.487
"3920",21.3,1007.6,88.481,3.1054,20.249,1060.1,550.18,112.77,10.669,2.0663,56.655
"3921",21.21,1008,88.259,3.0965,20.182,1060.2,550.16,112.76,10.655,2.0523,56.769
"3922",20.797,1008.3,89.461,3.1164,20.392,1061.6,549.96,113.91,10.727,1.9945,56.835
"3923",21.062,1008.6,89.037,3.7108,24.996,1088.3,550.15,133.13,11.956,0.69226,62.771
"3924",21.908,1009,87.045,3.736,25.154,1089.2,549.65,133.22,11.91,0.64748,62.932
"3925",22.675,1009.4,83.011,3.74,25.236,1089.6,549.82,133.47,12.02,0.58311,61.827
"3926",23.561,1009.5,78.192,3.7768,25.29,1090,550.15,133.26,12.032,0.5558,63.741
"3927",24.835,1009.7,71.542,3.853,25.556,1091.4,550.27,133.78,12.122,0.24194,64.527
"3928",27.694,1009.7,64.635,3.9354,25.589,1092,550.38,133.78,12.177,0.55119,63.902
"3929",29.406,1009.6,57.103,3.9203,25.615,1092,550.36,133.79,12.282,0.70096,64.602
"3930",29.392,1009.5,54.392,3.934,25.816,1092.7,550.37,134.28,12.303,0.35476,64.771
"3931",29.403,1009.4,55.106,3.9282,25.657,1092.5,550.07,133.78,12.228,0.56896,63.478
"3932",29.776,1009.2,55.311,3.9335,25.714,1092.3,549.62,133.79,12.156,0.41737,63.44
"3933",29.666,1009.4,55.025,3.9036,25.731,1091.8,549.6,133.77,12.083,0.45916,63.264
"3934",28.642,1009.9,59.396,3.7387,24.815,1086.3,549.61,129.63,11.796,1.1501,65.041
"3935",27.556,1010.3,62.909,3.1784,20.679,1062.4,550.2,113.01,10.811,1.6611,55.277
"3936",26.901,1010.7,68.094,3.6983,24.829,1087,550.22,130.31,11.934,0.75809,58.948
"3937",25.311,1010.8,73.147,3.7839,25.534,1091.6,550.04,133.68,12.073,0.56148,61.188
"3938",24.621,1011,72.702,3.7696,25.52,1091.1,549.82,133.73,12.178,0.36117,62.323
"3939",23.177,1011.1,76.711,3.5238,23.689,1080.5,550.22,126.93,11.66,0.92887,60.38
"3940",21.853,1011.1,80.346,3.044,20.101,1059.2,549.81,112.33,10.63,2.0637,58.691
"3941",20.65,1010.9,83.914,3.0587,20.126,1059.8,550.06,112.81,10.612,1.9072,59.317
"3942",19.775,1010.7,86.598,3.1187,20.432,1061.8,550.09,114.51,10.753,1.8885,59.621
"3943",19.148,1010.5,89.078,3.095,20.012,1059.2,549.97,112.76,10.625,2.1864,59.055
"3944",18.929,1010.2,89.698,3.1067,20.01,1059.4,550.03,112.76,10.606,2.0952,61.337
"3945",18.494,1010.3,90.65,3.0664,19.964,1059.1,549.94,112.74,10.577,2.241,61.134
"3946",18.478,1010.3,91.842,3.0906,19.986,1059,549.9,112.74,10.589,2.3985,60.35
"3947",19.341,1010.2,93.731,3.1747,20.327,1061.1,549.96,113.45,10.736,2.2533,57.227
"3948",22.034,1010.2,92.039,3.6855,23.989,1081.5,549.86,127.13,11.77,1.2883,61.37
"3949",24.909,1009.9,74.001,3.9361,25.773,1091.8,549.88,133.72,12.173,0.70923,67.097
"3950",26.773,1010.1,64.218,3.9408,25.76,1092.1,549.99,133.75,12.187,0.39059,66.982
"3951",28.994,1010,62.094,3.9369,25.714,1092.5,550.12,133.78,12.19,0.69268,64.688
"3952",29.812,1009.6,54.048,3.9685,25.689,1092.9,549.94,133.76,12.108,0.80243,65.758
"3953",30.036,1009,53.967,3.9571,25.61,1091.8,549.84,133.36,12.127,0.40025,63.231
"3954",30.296,1008.6,53.127,3.9846,25.877,1092.6,549.62,133.76,12.21,0.39436,62.95
"3955",31.231,1008.3,52.396,3.9957,25.938,1093,549.82,133.78,12.216,0.71116,63.759
"3956",31.444,1008,49.261,3.9832,26.004,1093.6,550.24,133.78,12.216,0.95394,69.954
"3957",30.962,1007.6,52.819,3.9491,25.995,1093.1,549.94,133.77,12.185,1.4213,80.267
"3958",29.769,1007.4,61.635,3.2639,21.344,1066.1,549.83,114.92,10.975,3.6794,68.573
"3959",28.475,1007.3,70.513,3.827,25.663,1091.1,549.89,132.81,12.156,0.87322,73.929
"3960",26.829,1007,81.691,3.8436,25.827,1091.5,550.34,133.65,12.13,0.56202,59.278
"3961",26.114,1007,84.748,3.8322,25.828,1091.4,550.49,133.75,12.064,0.78318,58.531
"3962",25.969,1007,85.412,3.8534,25.775,1091.2,550.34,133.75,11.998,0.24267,56.646
"3963",25.242,1006.9,85.733,3.4267,22.94,1075,550.37,122.49,11.314,1.0018,52.879
"3964",23.571,1006.7,81.24,3.1481,20.618,1062.2,549.93,114,10.805,1.7909,55.168
"3965",22.08,1006.2,82.358,3.7549,25.388,1089.9,549.87,134.31,12.165,0.35192,62.961
"3966",21.054,1005.8,84.447,3.7126,25.269,1089,549.83,134.2,12.03,0.3216,62.865
"3967",20.26,1005.6,86.535,3.1074,20.254,1060.3,549.97,113.18,10.671,1.6159,58.828
"3968",19.845,1005.3,88.194,3.1027,20.123,1059.3,549.77,112.75,10.629,1.7871,59.073
"3969",20.059,1004.9,87.445,3.0585,20.187,1059.4,549.87,112.75,10.619,1.725,60.671
"3970",19.764,1005.1,88.096,3.0662,20.122,1059.2,549.81,112.75,10.604,2.1039,61.307
"3971",20.39,1005.2,90.094,3.3584,22.11,1070.4,550.19,120.41,11.143,1.5291,61.504
"3972",23.269,1005.4,88.366,3.8641,25.709,1090.8,550,133.54,12.116,0.97341,65.368
"3973",25.555,1005.5,84.375,3.9099,25.849,1091.4,549.93,133.74,12.094,1.0095,63.554
"3974",26.427,1005.5,86.303,3.8788,25.544,1090.1,549.83,132.42,12.079,0.43569,58.219
"3975",28.167,1005.7,72.841,4.053,26.959,1093.9,547.07,136.61,12.508,0.37,60.735
"3976",29.572,1005.6,67.263,4.1122,27.746,1095.8,545.93,139.71,12.557,0.45961,59.311
"3977",31.157,1005.4,52.178,4.0018,26.23,1093.5,549.84,133.76,12.226,0.31925,66.699
"3978",32.336,1005.3,40.872,4.0422,26.374,1094.4,549.74,133.76,12.269,0.2276,68.928
"3979",33.035,1005.3,36.704,4.0411,26.413,1094.6,550,133.76,12.277,0.42577,69.997
"3980",31.975,1005.4,38.725,3.9732,26.216,1093.5,550.1,133.26,12.262,0.20939,68.462
"3981",30.247,1005.6,45.708,3.9148,25.999,1092.3,550.04,132.77,12.189,0.23396,66.419
"3982",28.438,1006.2,60.008,3.8208,25.727,1091.3,549.84,132.74,12.163,0.61592,63.374
"3983",26.944,1006.9,69.749,3.7276,25.343,1090.3,550.26,132.73,12.132,0.46192,61.508
"3984",25.371,1006.9,71.999,3.7228,25.307,1089.8,550.32,132.74,12.097,0.80838,61.57
"3985",24.574,1007.3,73.852,3.7445,25.366,1089.8,549.67,132.76,12.071,0.83115,61.413
"3986",24.116,1007.7,75.874,3.7659,25.459,1090.6,550.02,133.71,12.129,0.30714,61.486
"3987",23.568,1008,78.944,3.7542,25.441,1090.7,549.86,133.74,12.207,0.3125,61.538
"3988",23.259,1008.3,80.479,3.7384,25.547,1090.8,550.21,134.22,12.099,0.58339,61.737
"3989",22.56,1008.3,81.672,3.3682,22.454,1067.4,546.91,119.95,11.255,1.573,57.244
"3990",21.48,1008.2,84.813,3.1163,20.441,1061,549.7,113.73,10.635,1.7804,57.783
"3991",20.631,1008.3,87.722,3.1488,20.28,1061.4,550.03,113.9,10.617,1.7915,58.952
"3992",19.88,1008.6,91.097,3.1692,20.215,1061.3,549.96,113.76,10.645,1.7305,59.249
"3993",19.618,1008.9,92.198,3.1616,20.246,1060.7,550.04,113.73,10.637,1.7164,59.252
"3994",19.77,1009.3,92.409,3.1562,20.25,1060.6,550,113.52,10.58,1.8547,59.777
"3995",20.758,1009.6,93.114,3.1673,20.296,1061.2,550.08,113.21,10.623,1.9067,59.281
"3996",22.91,1009.8,86.646,3.6794,24.555,1084.8,549.99,129.19,11.8,0.96931,66.294
"3997",25.748,1010.2,61.376,3.881,25.877,1092.2,549.89,133.1,12.173,0.3633,71.889
"3998",28.137,1010.5,53.192,4.1113,27.338,1095.4,546.88,137.2,12.533,0.74391,69.511
"3999",30.107,1010.7,47.956,4.5634,30.801,1100,537.64,149.67,13.391,1.1895,61.829
"4000",30.898,1010.7,43.174,3.9663,25.958,1092.9,549.81,133.2,12.225,1.206,70.316
"4001",32.075,1010.6,39.569,4.0255,26.226,1093.9,549.56,133.45,12.411,0.38,68.464
"4002",32.313,1010.5,38.015,4.6424,31.23,1100,536.31,150.96,13.508,0.6211,58.097
"4003",32.313,1010.4,39.393,4.6363,31.299,1100.3,536.15,151.38,13.616,0.26699,56.682
"4004",32.478,1010.4,38.054,4.5485,30.626,1100.2,538.44,149.96,13.363,0.79551,61.207
"4005",32.628,1010.5,38.846,4.1161,27.318,1095,546.79,138.01,12.495,0.71184,67.412
"4006",32.161,1010.8,41.753,3.9491,26.042,1092.9,550.33,132.77,12.169,0.8254,67.069
"4007",29.99,1011.1,54.704,3.8461,25.873,1092.2,550.05,132.76,12.158,0.59406,62.691
"4008",27.683,1011.3,76.279,3.8207,25.698,1091.4,550.13,132.76,12.139,0.73833,57.303
"4009",27.096,1011.5,76.151,3.8095,25.596,1090.8,550.25,132.77,12.13,0.8463,58.277
"4010",26.331,1011.8,66.459,3.7729,25.464,1090.5,549.95,132.76,12.094,0.44446,61.635
"4011",24.983,1011.8,66.64,3.6924,25.237,1089.2,550.13,132.76,12.046,0.36204,61.12
"4012",23.351,1011.8,72.775,3.6892,25.171,1089.2,549.93,133.41,12.159,0.49189,62.525
"4013",22.093,1011.7,79.277,3.4725,23.476,1079.8,549.84,126.58,11.635,1.0284,62.136
"4014",21.303,1011.6,81.561,3.0013,19.792,1058.2,550.14,111.36,10.535,2.0306,59.35
"4015",20.616,1011.6,82.414,2.9418,19.559,1057,550.07,110.78,10.494,2.1211,61.053
"4016",19.929,1011.7,83.522,2.9414,19.46,1057,550.07,110.76,10.511,2.3936,61.611
"4017",19.828,1011.9,84.154,2.9949,19.561,1057.5,549.85,111.05,10.551,2.0856,61.4
"4018",19.894,1012.4,83.925,3.018,19.775,1058.6,550.11,111.76,10.671,2.0985,61.453
"4019",21.654,1013,77.598,3.2309,21.354,1067.3,550.01,117.01,11.081,1.659,62.085
"4020",24.276,1013.3,67.643,3.9119,26.056,1093.8,549.73,134.44,12.163,0.49101,71.135
"4021",26.976,1013.8,58.722,3.9801,26.259,1095.2,550.02,134.75,12.372,0.2778,70.514
"4022",28.658,1014,56.729,4.3478,29.163,1098.4,541.63,143.6,13.05,1.2428,63.741
"4023",30.281,1014.4,53.323,4.522,30.846,1100.3,536.88,149.32,13.471,2.9207,61.858
"4024",30.538,1014.4,55.641,4.3574,29.461,1098.3,540.72,144.77,13.093,2.3705,62.27
"4025",30.696,1014.4,55.209,4.196,27.942,1096.4,544.38,138.47,12.75,0.47644,61.491
"4026",30.223,1014.1,48.002,4.1726,27.839,1098,546.3,139.82,12.643,0.41367,65.922
"4027",29.934,1014.2,51.246,3.9406,26.009,1093.9,549.91,133.38,12.268,0.35813,65.445
"4028",29.54,1014.5,48.696,3.9458,26.052,1094.4,549.85,133.8,12.278,0.52781,67.903
"4029",28.837,1014.7,48.437,3.9053,25.986,1094.1,550,133.79,12.261,0.78858,68.368
"4030",27.881,1014.9,52.707,3.8331,25.808,1093,549.82,133.78,12.234,0.73086,66.109
"4031",26.227,1015.1,62.725,3.7868,25.586,1091.9,549.93,133.8,12.239,0.83571,63.883
"4032",25.047,1015.6,69.314,3.7866,25.522,1091.4,550.16,133.78,12.264,0.796,64.16
"4033",24.059,1015.6,74.931,3.7592,25.477,1091.6,550.23,134.05,12.289,0.71727,61.936
"4034",23.593,1015.2,78.243,3.7712,25.505,1092,550.24,134.44,12.191,0.61512,62.489
"4035",22.885,1015.1,79.675,3.7595,25.429,1091.9,550.21,134.48,12.198,0.50828,61.883
"4036",22.354,1015,83.445,3.7469,25.289,1091.3,550.04,134.37,12.21,0.31921,62.076
"4037",21.868,1015.1,88.297,3.7512,25.276,1090.9,550.15,134.37,12.178,0.40023,59.849
"4038",21.339,1015.3,90.575,3.7531,25.223,1090.9,550.13,134.67,12.023,0.52042,60.121
"4039",21.031,1015.6,93.281,2.9471,18.388,1050.7,549.81,105.15,10.212,3.1643,56.414
"4040",21.154,1016.1,95.91,2.9356,18.367,1050.4,550.08,105.03,10.3,3.2008,54.475
"4041",22.393,1016.3,95.884,3.896,25.603,1092.2,550.16,134.56,12.183,0.66772,60.665
"4042",24.587,1016.6,86.431,3.9219,25.906,1093.3,550.1,134.54,12.234,0.3746,62.166
"4043",25.969,1016.7,78.634,3.9602,26.055,1094.2,549.83,134.71,12.281,0.27103,62.84
"4044",27.372,1016.7,69.959,3.9681,26.122,1094.9,549.78,134.43,12.172,0.42092,62.704
"4045",28.858,1016.8,62.006,3.9701,26.125,1094.8,550.1,134.24,12.266,0.74193,62.282
"4046",29.256,1016.6,60.781,3.9772,26.086,1094.7,549.99,133.76,12.284,1.0732,65.081
"4047",29.429,1016.3,60.18,3.9783,26.103,1094.4,550.22,133.78,12.281,0.68405,63.202
"4048",29.656,1016,58.375,3.9939,26.162,1095.2,550.41,133.78,12.278,0.23701,62.644
"4049",30.605,1015.9,49.59,3.9871,26.252,1095.1,550.3,133.79,12.272,0.17746,64.934
"4050",30.255,1015.8,51.389,3.9693,26.148,1094.7,550.11,133.79,12.27,0.29071,64.095
"4051",29.689,1015.9,51.561,3.9366,26.129,1094.4,549.74,133.78,12.267,0.28746,64.063
"4052",28.798,1016,56.165,3.8837,25.917,1093.7,549.95,133.78,12.26,0.61664,63.125
"4053",27.314,1016,62.222,3.8129,25.684,1092.9,549.96,133.79,12.215,0.43484,61.841
"4054",25.687,1016,69.903,3.7703,25.552,1091.9,549.79,133.78,12.15,0.72842,59.443
"4055",24.462,1016.1,78.12,3.7547,25.422,1091.6,549.63,133.78,12.068,0.7838,59.191
"4056",23.719,1015.8,85.426,3.6549,24.563,1086.8,550.2,130.37,11.797,0.90736,57.742
"4057",23.121,1015.3,87.919,3.0621,19.995,1059.9,550.04,111.73,10.561,2.056,52.954
"4058",22.114,1015,89.367,3.0836,19.835,1059.4,550.04,111.77,10.589,2.2964,54.14
"4059",21.517,1014.7,93.764,3.1086,19.875,1059.4,550.17,111.78,10.616,2.0606,53.635
"4060",21.581,1014.4,95.109,3.1577,19.903,1059.4,550.11,111.77,10.632,2.0162,53.678
"4061",21.619,1014.3,95.909,3.141,19.893,1059.4,550,111.85,10.723,2.2097,53.942
"4062",21.312,1014.5,96.603,3.8731,25.009,1089.3,550.05,133.56,12.048,0.68565,58.769
"4063",21.348,1014.6,96.338,3.8609,25.143,1090.5,549.93,133.73,12.056,0.37076,58.268
